Source,Event_ID,Event Summary,URL,Operating Systems,Category and Subcategory,Type,Description,Event Example
Windows,1101,Audit events have been dropped by the transport.,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=1101,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Non Audit (Event Log)          • Event processing,Success,We have observed this event being logged upon restarting Windows after a dirty shutdown.,Audit events have been dropped by the transport.  The real time backup file was corrupt due to improper shutdown.
Windows,1102,The audit log was cleared,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=1102,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Non Audit (Event Log)          • Log clear,Success,"Event 1102 is logged whenever the Security log is cleared, REGARDLESS of the status of the Audit System Events audit policy. The Account Name and Domain Name fields identify the user who cleared the log.

Logon ID allows you to correlate backwards to the logon event (4624) as well as with other events logged during the same logon session.","The audit log was cleared.
Subject:
Security ID: WIN-R9H529RIO4Y\Administrator
Account Name: Administrator
Domain Name: WIN-R9H529RIO4Y
Logon ID: 0x169e9"
Windows,1104,The security Log is now full,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=1104,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Non Audit (Event Log)          • Event processing,Success,"No more events will be logged until the log is expanded, cleared or configured to overwrite events.

This event indicates a ""hole"" in your audit trail and should be avoided with the implementation of an effective log management solution that collects events before they can be overwritten or before the log fills up.

""Do not overwrite events (clear log manually)"" should only be used in conjunction with the security option ""Audit: Shutdown system immediately if unable to log security audits"".  Of course these 2 settings together will cause the system outages if the log is allowed to fill up and would only be appropriate for systems with the highest integrity requirements on audit trails.",The security log is now full.
Windows,1105,Event log automatic backup,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=1105,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Non Audit (Event Log)          • Log automatic backup,Success,"This event is only logged when ""When maximum log size is reached:"" is set to ""Archive the log when full, do not overwrite events"". When the log reaches maximum size Windows saves it to %systemroot%\System32\Winevt\Logs\ with the file name Archive-Security-YYYY-MM-DD-HH-MM-SS-NNN.evtx.",Event log automatic backup
Windows,1108,The event logging service encountered an error,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=1108,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Non Audit (Event Log)          • Event processing,Failure,I have observed this event on actual systems but have not been able to determine the cause. Start a discussion below if you get this event and have questions or comments.,The event logging service encountered an error while processing an incoming event published from Microsoft-Windows-Security-Auditing.
Windows,4608,Windows is starting up,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4608,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • Security State Change,Success,4608 is an important security event: Any operating system is essentially defenseless when the operating system is down.,"Windows is starting up. 

This event is logged when LSASS.EXE starts and the auditing subsystem is initialized."
Windows,4609,Windows is shutting down,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4609,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • Security State Change,Success,"Despite the documentation, as of Release candidate 1 this event is not found. Perhaps this is because the event logging service stops first (event 1100). This is funny since the same problem used to happen in NT.  MS fixed it in 2000 and looks like they broke it again at least as of RC1. I haven't been able to produce this event. Have you? If so, please start a discussion (see above) and post a sample along with any comments you may have! Don't forget to sanitize any private information.",Windows is shutting down. All logon sessions will be terminated by this shutdown.
Windows,4610,An authentication package has been loaded by the Local Security Authority,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4610,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • Security System Extension,Success,"Event 4610 is logged once at startup for each authentication package on the system. 

An authentication package is a DLL that encapsulates a given form of authentication, such as NTLM or Kerberos. The Local Security Authority calls into the appropriate authentication package during the logon process to find out if the user is authentic. 

Although a third party can develop an authentication package, few do so, except for smart card and token manufacturers. The only authentication package logged by Windows Server 2008 is C:\Windows\system32\msv1_0.dll : MICROSOFT_AUTHENTICATION_PACKAGE_V1_0 which is just one of the authentication options supported by Windows (See 514 for a list of standard authentication packages on Windows Server 2003). The other authentication options supported by Windows Server 2008 appear to now be part of a larger package called a security package. See 4622.  From MSDN: ""A security package that functions as an authentication package and implements the functionality required by SSPI is called a security support provider/authentication package (SSP/AP).""

The security implication of event 4610, realistically, is low. Although a rogue package could cause great harm by stealing credentials at the time of logon, the effort required in developing and installing a rogue authentication package is significant.","An authentication package has been loaded by the Local Security Authority.
This authentication package will be used to authenticate logon attempts.

Authentication Package Name: C:\Windows\system32\msv1_0.dll : MICROSOFT_AUTHENTICATION_PACKAGE_V1_0"
Windows,4611,A trusted logon process has been registered with the Local Security Authority,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4611,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • Security System Extension,Success,"An occurrence of event 4611 is logged at startup and occasionally afterwards for each logon process on the system. 

A logon process is a trusted part of the operating system and handles the overall logon function for different logon methods including incoming RAS connections, RunAs, interactive logons initiated by CtrlAltDel, and network logons (as in drive mappings). 

Because logon processes are such trusted functions, a rogue logon process would be a devastating security breach--but an improbable one, given the effort and skill required. 

Standard logon processes for Windows Server 2008:","A trusted logon process has been registered with the Local Security Authority.
This logon process will be trusted to submit logon requests.

Subject:"
Windows,4612,"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.",https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4612,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • System Integrity,Success,"This event has not been observed but would indicate that an extremely high period of activity prevented Windows from logging a number of security events. I haven't been able to produce this event. Have you? If so, please start a discussion (see above) and post a sample along with any comments you may have! Don't forget to sanitize any private information.","Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits."
